,|V|,|E|,Preordering ILP,Preordering ILP Gap,Preordering ILP T,Clustering ILP,Clustering ILP Gap,Clustering ILP T,Partial Ordering ILP,Partial Ordering ILP Gap,Partial Ordering ILP T,Successive ILPs,Successive ILPs Gap,Successive ILPs T,LP,LP T,LP+OCW,LP+OCW T,GDC,GDC T,GAI,GAI T,GDC+GAI,GDC+GAI T
111278293763545982455,0,0,,,,,,,,,,,,,,,,,0,inf,0,inf,0,inf
104076158580173410325,8,7,,,,,,,,,,,,,,,,,7,0.0001766681671142,7,0.2886598110198974,7,0.0150933265686035
101560853443212199687,19,107,,,,,,,,,,,,,,,,,72,0.0002429485321044,79,0.0029575824737548,91,0.0016534328460693
116899029375914044550,22,123,,,,,,,,,,,,,,,,,81,0.0002644062042236,104,0.0037801265716552,103,0.0021812915802001
103338524411980406972,34,123,,,,,,,,,,,,,,,,,72,0.0003626346588134,86,0.0054414272308349,87,0.0021364688873291
106328207304735502636,35,272,,,,,,,,,,,,,,,,,129,0.0003867149353027,151,0.0060205459594726,154,0.0028414726257324
110739220927723360152,54,252,,,,,,,,,,,,,,,,,148,0.0005419254302978,138,0.0100264549255371,163,0.0020184516906738
110241952466097562819,83,983,,,,,,,,,,,,,,,,,471,0.000802993774414,398,0.0149798393249511,538,0.0104849338531494
116450966137824114154,92,1104,,,,,,,,,,,,,,,,,527,0.0009472370147705,410,0.0163822174072265,599,0.0108876228332519
101848191156408080085,94,1341,,,,,,,,,,,,,,,,,602,0.0009450912475585,494,0.0190355777740478,658,0.0123286247253417
110809308822849680310,97,580,,,,,,,,,,,,,,,,,325,0.0009317398071289,224,0.0182118415832519,329,0.0030703544616699
102615863344410467759,102,1335,,,,,,,,,,,,,,,,,805,0.0010085105895996,563,0.0282742977142334,857,0.0127649307250976
113455290791279442483,108,2884,,,,,,,,,,,,,,,,,1461,0.0011274814605712,1338,0.0277996063232421,1614,0.0133423805236816
117866881767579360121,117,798,,,,,,,,,,,,,,,,,515,0.0011658668518066,445,0.025280475616455,552,0.0079355239868164
110232479818136355682,120,1259,,,,,,,,,,,,,,,,,691,0.001169204711914,550,0.0251040458679199,728,0.0096247196197509
103241736833663734962,131,1767,,,,,,,,,,,,,,,,,820,0.0013456344604492,645,0.0303261280059814,891,0.0171682834625244
117798157258572080176,168,1411,,,,,,,,,,,,,,,,,628,0.0017433166503906,373,0.0208880901336669,677,0.0093259811401367
114054672576929802335,175,6038,,,,,,,,,,,,,,,,,2633,0.0019104480743408,2594,0.0386505126953125,3324,0.0363245010375976
118255645714452180374,215,7132,,,,,,,,,,,,,,,,,4019,0.002457857131958,2768,0.0811128616333007,4326,0.0396735668182373
117412175333096244275,252,1174,,,,,,,,,,,,,,,,,744,0.0029280185699462,627,0.0515151023864746,840,0.0077998638153076
111213696402662884531,258,9214,,,,,,,,,,,,,,,,,5033,0.0029859542846679,3955,0.1005682945251464,5167,0.0562238693237304
101499880233887429402,268,6618,,,,,,,,,,,,,,,,,4080,0.0031321048736572,3049,0.0849592685699462,4442,0.035111665725708
100637660947564674695,296,3994,,,,,,,,,,,,,,,,,2089,0.0035138130187988,1922,0.0773310661315918,2482,0.0280060768127441
117503822947457399073,307,13800,,,,,,,,,,,,,,,,,7445,0.0039517879486083,6376,0.1072032451629638,7813,0.0567324161529541
114104634069486127920,320,11716,,,,,,,,,,,,,,,,,5498,0.0041174888610839,4251,0.1026790142059326,5942,0.0728809833526611
113597493946570654755,321,8558,,,,,,,,,,,,,,,,,4888,0.0039505958557128,4105,0.1356394290924072,5047,0.0380635261535644
100518419853963396365,326,10297,,,,,,,,,,,,,,,,,4937,0.0041642189025878,3489,0.1142687797546386,5013,0.0270791053771972
110614416163543421878,338,12341,,,,,,,,,,,,,,,,,6906,0.0045621395111083,4800,0.1452686786651611,6950,0.0145275592803955
100466178325794757407,344,4178,,,,,,,,,,,,,,,,,2252,0.0044474601745605,1926,0.0875511169433593,2443,0.0326087474822998
103251633033550231172,373,6770,,,,,,,,,,,,,,,,,3798,0.0052697658538818,2351,0.1618459224700927,3833,0.0128805637359619
108404515213153345305,417,6299,,,,,,,,,,,,,,,,,4081,0.0058634281158447,2823,0.1222815513610839,4313,0.0368373394012451
103503116383846951534,422,6676,,,,,,,,,,,,,,,,,3924,0.0059866905212402,2754,0.1541690826416015,4017,0.0261707305908203
104105354262797387583,452,15148,,,,,,,,,,,,,,,,,8994,0.006366491317749,3720,0.1501390933990478,9857,0.0847964286804199
114336431216099933033,461,6081,,,,,,,,,,,,,,,,,3390,0.0064043998718261,3783,0.1076219081878662,4474,0.0377471446990966
104672614700283598130,475,21941,,,,,,,,,,,,,,,,,11714,0.0076031684875488,7635,0.2690575122833252,11808,0.0357847213745117
112737356589974073749,476,32780,,,,,,,,,,,,,,,,,17195,0.0078599452972412,9146,0.2733633518218994,17354,0.0521936416625976
101541879642294398860,488,20527,,,,,,,,,,,,,,,,,9390,0.0075833797454833,5730,0.2193808555603027,9634,0.0795643329620361
115576988435396060952,492,15502,,,,,,,,,,,,,,,,,7522,0.0078117847442626,4538,0.1791999340057373,7752,0.0748035907745361
107965826228461029730,495,20872,,,,,,,,,,,,,,,,,10095,0.0078916549682617,5980,0.2299249172210693,10363,0.1020059585571289
112317819390625199896,498,13119,,,,,,,,,,,,,,,,,8158,0.0076010227203369,5136,0.2921762466430664,8231,0.0255434513092041
115360471097759949621,511,39128,,,,,,,,,,,,,,,,,25380,0.0094842910766601,21709,0.3087701797485351,27377,0.1738357543945312
100521671383026672718,521,19847,,,,,,,,,,,,,,,,,11395,0.009789228439331,7058,0.1486146450042724,11980,0.118729829788208
109342148209917802565,550,18179,,,,,,,,,,,,,,,,,10638,0.0098686218261718,6129,0.3837945461273193,10703,0.0240097045898437
100962871525684315897,559,32488,,,,,,,,,,,,,,,,,17095,0.0091941356658935,14120,0.2499716281890869,17839,0.1572668552398681
107459220492917008623,562,14057,,,,,,,,,,,,,,,,,8024,0.0099806785583496,5677,0.2558145523071289,8302,0.0754036903381347
101997124338642780860,575,13066,,,,,,,,,,,,,,,,,7424,0.0112502574920654,5669,0.2607607841491699,7706,0.0939538478851318
110581012109008817546,627,2242,,,,,,,,,,,,,,,,,1786,0.0119128227233886,947,0.1253731250762939,1823,0.0107970237731933
100500197140377336562,638,16043,,,,,,,,,,,,,,,,,9509,0.0131571292877197,6611,0.3744513988494873,9960,0.1110842227935791
118379821279745746467,694,36710,,,,,,,,,,,,,,,,,17695,0.0147640705108642,12183,0.3605408668518066,18808,0.2474968433380127
107013688749125521109,762,29435,,,,,,,,,,,,,,,,,16219,0.0154969692230224,10723,0.5059223175048828,16574,0.1377058029174804
113881433443048137993,769,24034,,,,,,,,,,,,,,,,,14976,0.0164265632629394,9073,0.6464166641235352,15035,0.031750202178955
109327480479767108490,773,10111,,,,,,,,,,,,,,,,,7439,0.0169153213500976,4552,0.3321318626403808,8048,0.1025664806365966
101133961721621664586,780,26552,,,,,,,,,,,,,,,,,13925,0.017228364944458,9269,0.4774868488311767,14623,0.2231884002685547
113122049849685469495,792,28345,,,,,,,,,,,,,,,,,17574,0.0174365043640136,10792,0.6193571090698242,17953,0.1456284523010254
112724573277710080670,851,34320,,,,,,,,,,,,,,,,,20246,0.019576072692871,11450,0.77274489402771,20526,0.0877149105072021
115625564993990145546,923,39400,,,,,,,,,,,,,,,,,23514,0.0225484371185302,17030,0.6785123348236084,24468,0.2305071353912353
108541235642523883716,1007,54555,,,,,,,,,,,,,,,,,33928,0.0259039402008056,19468,1.4761154651641846,34163,0.1538259983062744
101185748996927059931,1052,69139,,,,,,,,,,,,,,,,,42604,0.0294125080108642,27814,1.361048698425293,43368,0.1494464874267578
107296660002634487593,1079,51953,,,,,,,,,,,,,,,,,31054,0.0284876823425292,17029,1.6840190887451172,31207,0.1198563575744628
106837574755355833243,1083,58992,,,,,,,,,,,,,,,,,37885,0.0283753871917724,24588,1.6237077713012695,38204,0.1901788711547851
116247667398036716276,1175,74202,,,,,,,,,,,,,,,,,43401,0.0328471660614013,28487,1.9060425758361816,43600,0.1546604633331298
100715738096376666180,1179,52439,,,,,,,,,,,,,,,,,33014,0.0327632427215576,20060,2.0864152908325195,33212,0.1618425846099853
100535338638690515335,1187,66918,,,,,,,,,,,,,,,,,38112,0.0336618423461914,19627,1.7334420680999756,38509,0.2825167179107666
116315897040732668413,1243,106485,,,,,,,,,,,,,,,,,64876,0.0374548435211181,34399,3.718435287475586,64937,0.0551435947418212
116059998563577101552,1302,49211,,,,,,,,,,,,,,,,,27696,0.039560317993164,16378,1.7903239727020264,28124,0.316556453704834
102778563580121606331,1371,48359,,,,,,,,,,,,,,,,,28794,0.0429639816284179,16653,2.6933906078338623,29466,0.4357542991638183
115121555137256496805,1374,68335,,,,,,,,,,,,,,,,,43228,0.0437562465667724,21865,4.178223371505737,43384,0.1673738956451416
117668392750579292609,1473,122044,,,,,,,,,,,,,,,,,67134,0.0497725009918212,61447,3.372497081756592,69223,0.7266066074371338
109213135085178239952,1520,238471,,,,,,,,,,,,,,,,,140892,0.054577350616455,89857,4.567959547042847,142434,0.9466559886932372
110971010308065250763,1548,328315,,,,,,,,,,,,,,,,,191319,0.0601325035095214,119042,8.334355592727661,191672,0.624098539352417
110701307803962595019,1556,118823,,,,,,,,,,,,,,,,,69200,0.0590720176696777,41685,4.902920961380005,69895,0.9366552829742432
104917160754181459072,1589,111738,,,,,,,,,,,,,,,,,69240,0.063206672668457,31865,6.990238428115845,69476,0.3838896751403808
113356364521839061717,1604,187614,,,,,,,,,,,,,,,,,109997,0.063481330871582,65315,6.785747051239014,110306,0.5336742401123047
100129275726588145876,1650,166292,,,,,,,,,,,,,,,,,104039,0.0702741146087646,71261,5.941596508026123,105058,1.3598573207855225
113112256846010263985,1662,118788,,,,,,,,,,,,,,,,,80181,0.0671532154083252,50057,6.96202540397644,80539,0.4469921588897705
104987932455782713675,1730,228521,,,,,,,,,,,,,,,,,136778,0.0721173286437988,93385,8.604811668395996,137500,1.2337305545806885
108883879052307976051,1743,107368,,,,,,,,,,,,,,,,,55263,0.071840763092041,30036,6.582850217819214,55839,1.263289451599121
104226133029319075907,1842,33138,,,,,,,,,,,,,,,,,21486,0.076573371887207,12108,4.310862064361572,21925,0.6986250877380371
110538600381916983600,1889,582827,,,,,,,,,,,,,,,,,284958,0.0916647911071777,196315,7.66492748260498,294506,4.475305080413818
103892332449873403244,2009,145150,,,,,,,,,,,,,,,,,95227,0.09157395362854,50000,12.722991466522217,96231,1.62646484375
113799277735885972934,2017,90527,,,,,,,,,,,,,,,,,53359,0.1251587867736816,32540,9.761952877044678,53947,1.5534522533416748
107203023379915799071,2156,143866,,,,,,,,,,,,,,,,,88770,0.1141366958618164,42818,17.726786136627197,89519,2.048151969909668
109602109099036550366,2187,130231,,,,,,,,,,,,,,,,,78119,0.1144015789031982,35559,21.35017442703247,78487,1.2796268463134766
100329698645326486178,2213,93510,,,,,,,,,,,,,,,,,55653,0.1151521205902099,27027,23.6783287525177,55932,1.0056748390197754
102170431816592344972,2224,197939,,,,,,,,,,,,,,,,,125713,0.1239683628082275,64986,32.63964509963989,125830,0.4441878795623779
103236949470535942612,2332,628350,,,,,,,,,,,,,,,,,334493,0.13592529296875,256177,39.99511528015137,335496,2.5312440395355225
118107045405823607895,2426,266035,,,,,,,,,,,,,,,,,157260,0.1356656551361084,77122,40.93552541732788,157374,0.7306454181671143
101263615503715477581,2455,484666,,,,,,,,,,,,,,,,,291582,0.1473710536956787,166322,44.6609947681427,292446,4.52253007888794
107223200089245371832,2512,75709,,,,,,,,,,,,,,,,,53296,0.2170565128326416,29865,19.31975531578064,55152,3.192044734954834
102340116189726655233,2590,236909,,,,,,,,,,,,,,,,,139336,0.1576929092407226,76183,41.014423847198486,140013,2.711298942565918
101130571432010257170,2614,527011,,,,,,,,,,,,,,,,,317405,0.2041277885437011,170220,67.08917570114136,317956,3.1667416095733643
108156134340151350951,2658,242765,,,,,,,,,,,,,,,,,151891,0.1571342945098877,77756,43.17873954772949,152507,2.764070510864258
106417861423111072106,2761,174309,,,,,,,,,,,,,,,,,105346,0.16349458694458,58819,39.34390377998352,106503,6.106360197067261
104607825525972194062,3091,382520,,,,,,,,,,,,,,,,,222265,0.2087733745574951,106142,104.21980786323547,222916,5.936466932296753
103537112468125883734,3100,331794,,,,,,,,,,,,,,,,,192852,0.2094559669494629,113853,83.06500959396362,195151,12.276269674301147
107362628080904735459,3134,796192,,,,,,,,,,,,,,,,,469509,0.2212085723876953,260421,145.04788613319397,470372,4.705810070037842
115516333681138986628,3143,204699,,,,,,,,,,,,,,,,,129457,0.2054646015167236,63364,87.06781911849976,129919,4.067855358123779
104290609881668164623,3154,305998,,,,,,,,,,,,,,,,,176808,0.213914155960083,108542,79.06007242202759,179257,18.71122980117798
113171096418029011322,3347,202125,,,,,,,,,,,,,,,,,116590,0.229673147201538,75579,61.22606635093689,118614,17.706554889678955
100720409235366385249,3455,435569,,,,,,,,,,,,,,,,,267518,0.2572207450866699,136713,143.67860579490662,268443,11.260334730148315
115455024457484679647,3490,137466,,,,,,,,,,,,,,,,,75654,0.246824026107788,41424,59.61102342605591,76381,8.765205144882202
111058843129764709244,3508,290468,,,,,,,,,,,,,,,,,178612,0.2633407115936279,80637,192.30136680603027,178947,3.67536187171936
105565257978663183206,3545,294151,,,,,,,,,,,,,,,,,176323,0.2689735889434814,99189,133.47651290893555,176793,6.74883770942688
112573107772208475213,3799,69545,,,,,,,,,,,,,,,,,42734,0.2969708442687988,25386,94.6439049243927,44119,15.830883741378784
101373961279443806744,3814,1133507,,,,,,,,,,,,,,,,,618157,0.4342584609985351,380567,364.5211315155029,618982,8.86149525642395
106724181552911298818,3870,521294,,,,,,,,,,,,,,,,,322873,0.335888147354126,154010,294.3802638053894,323416,8.428006649017334
113718775944980638561,3939,1146177,,,,,,,,,,,,,,,,,694915,0.3466646671295166,371395,440.4828243255615,695265,7.36332893371582
111048918866742956374,4160,527604,,,,,,,,,,,,,,,,,355575,0.3944172859191894,198169,469.6232450008392,356276,15.513717651367188
114147483140782280818,4229,475143,,,,,,,,,,,,,,,,,308652,0.4189333915710449,141238,386.8842656612396,309441,15.83347988128662
106186407539128840569,4289,284304,,,,,,,,,,,,,,,,,165736,0.4033510684967041,101146,225.19844579696647,167742,36.28356170654297
107489144252174167638,4362,1454369,,,,,,,,,,,,,,,,,829734,0.4478471279144287,548009,616.7615661621094,830757,21.10684323310852
107040353898400532534,4369,739046,,,,,,,,,,,,,,,,,499013,0.5668065547943115,0,inf,499202,5.260568857192993
105646458226420473639,4450,1614977,,,,,,,,,,,,,,,,,995143,0.4671621322631836,0,inf,995997,21.51600742340088
104905626100400792399,4482,305075,,,,,,,,,,,,,,,,,182421,0.4659855365753174,0,inf,184050,40.18240261077881
115573545440464933254,4503,299096,,,,,,,,,,,,,,,,,176316,0.4670279026031494,0,inf,177267,25.30037260055542
115273860520983542999,4520,292679,,,,,,,,,,,,,,,,,185737,0.5923900604248047,0,inf,186599,21.74267864227295
100668989009254813743,4586,352373,,,,,,,,,,,,,,,,,213207,0.4965403079986572,0,inf,215166,38.42758893966675
116825083494890429556,4604,479750,,,,,,,,,,,,,,,,,301362,0.4946739673614502,0,inf,302583,18.749998569488525
101626577406833098387,4712,432940,,,,,,,,,,,,,,,,,260219,0.5343422889709473,0,inf,260560,11.621133804321287
109596373340495798827,4720,560624,,,,,,,,,,,,,,,,,350584,0.553361177444458,0,inf,351437,22.776110649108887
112463391491520264813,4720,624800,,,,,,,,,,,,,,,,,392595,0.5430235862731934,0,inf,393634,27.440831184387207
114122960748905067938,4734,662766,,,,,,,,,,,,,,,,,465890,0.7181951999664307,0,inf,466126,7.679057836532593
114124942936679476879,4782,1212982,,,,,,,,,,,,,,,,,687750,0.5346102714538574,0,inf,689382,35.59639024734497
117734260411963901771,4805,415499,,,,,,,,,,,,,,,,,229669,0.6325790882110596,0,inf,230968,38.56394171714783
116931379084245069738,4831,510112,,,,,,,,,,,,,,,,,319691,0.6916995048522949,0,inf,320051,10.50940990447998
106228758905254036967,4842,322165,,,,,,,,,,,,,,,,,177988,0.5637569427490234,0,inf,180943,60.27648210525513
116807883656585676940,4872,416992,,,,,,,,,,,,,,,,,262319,0.5534646511077881,0,inf,263681,38.05796122550965
109130886479781915270,4880,627763,,,,,,,,,,,,,,,,,404403,0.7856893539428711,0,inf,405268,31.21857714653015
103752943025677384806,4895,1596903,,,,,,,,,,,,,,,,,965328,0.5969600677490234,0,inf,966349,29.943812370300293
106382433884876652170,4903,771351,,,,,,,,,,,,,,,,,532907,0.6291577816009521,0,inf,533235,13.858458518981934
112787435697866537461,4926,1270141,,,,,,,,,,,,,,,,,775684,0.7466952800750732,0,inf,776324,21.749659776687626
111091089527727420853,4938,596494,,,,,,,,,,,,,,,,,376737,0.5799829959869385,0,inf,377056,14.305201530456545
